,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
2400, Great Yarmouth and Waveney PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 263 , -   , -   ,1213,5PR,,,
2401, Halstead Clinic , -   , * , -   , * , * , -   , -   , -   , * , * , * , * , -   , * , -   , -   , -   , 9 , -   , -   ,1213,NQA34,,,
2402, Hertfordshire Community NHS Trust , 13 , 6 , * , 7 , -   , 17 , -   , -   , 154 , 54 , 22 , 19 , 38 , 34 , -   , -   , * ," 3,001 ", 228 , 342 ,1213,RY4,,,
2403, Hertfordshire Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,350 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 412 , -   , 18 ,1213,RWR,,,
2404, Hinchingbrooke Health Care NHS Trust , 790 ," 5,815 ", 802 , 620 , 174 , 407 ," 2,841 ", 287 ," 1,771 "," 2,049 "," 4,648 ", 755 ," 3,144 "," 2,132 "," 3,226 ", 477 , 102 ," 3,599 "," 1,842 "," 3,329 ",1213,RQQ-X,,,
2405, Ipswich Hospital NHS Trust ," 1,947 "," 14,020 "," 1,751 "," 1,747 ", 321 ," 2,077 "," 2,384 ", 543 ," 4,765 "," 4,663 "," 10,277 "," 1,098 "," 6,533 "," 4,347 "," 7,688 "," 2,447 ", 271 ," 8,917 "," 4,460 "," 5,471 ",1213,RGQ,,,
2406, James Paget University Hospitals NHS Foundation Trust ," 1,305 "," 6,231 "," 1,047 ", 817 , 318 , 960 ," 5,554 ", 405 ," 2,951 "," 3,655 "," 7,378 "," 1,585 "," 4,265 "," 3,915 "," 4,804 ", 629 , 163 ," 6,092 "," 3,555 "," 4,072 ",1213,RGP,,,
2407, Luton and Dunstable Hospital NHS Foundation Trust ," 2,805 "," 7,414 "," 1,510 "," 1,507 ", 406 ," 1,327 "," 2,524 ", 663 ," 3,800 "," 6,336 "," 10,802 "," 1,272 "," 4,363 "," 4,458 "," 10,637 "," 1,517 ", 571 ," 10,660 "," 4,831 "," 9,273 ",1213,RC9,,,
2408, Mid Essex Hospital Services NHS Trust ," 1,403 "," 13,598 "," 1,257 ", 589 , 221 ," 2,016 "," 2,207 ", 557 ," 4,293 "," 4,117 "," 7,024 "," 3,179 "," 6,791 "," 4,439 "," 6,119 "," 1,467 ", 816 ," 7,606 "," 10,001 "," 5,854 ",1213,RQ8,,,
2409, Mid Essex PCT , * , 9 , 45 , * , * , 11 , * , -   , 9 , 24 , 8 , 11 , 15 , 29 , -   , -   , -   , 101 , 18 , * ,1213,5PX,,,
2410, Norfolk and Norwich University Hospitals NHS Foundation Trust ," 2,916 "," 29,721 "," 2,744 "," 2,123 ", 696 ," 3,383 "," 11,630 ", 798 ," 10,612 "," 8,033 "," 17,874 "," 3,269 "," 10,367 "," 7,796 "," 13,678 "," 1,492 "," 1,104 "," 13,382 "," 9,888 "," 12,322 ",1213,RM1,,,
2411, Norfolk and Suffolk NHS Foundation Trust , -   , * , -   , -   ," 2,737 ", 72 , -   , -   , * , * , * , -   , * , -   , -   , -   , * , 273 , 7 , 14 ,1213,RMY-X,,,
2412, Norfolk Community Health and Care NHS Trust , 35 , 469 , 44 , 46 , 46 , 138 , * , * , 577 , 263 , 110 , 65 , 228 , 198 , -   , -   , 24 , 251 , 689 , 839 ,1213,RY3,,,
2413, North Essex Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,845 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 236 , -   , 76 ,1213,RRD,,,
2414," Nuffield Health, Brentwood Hospital ", -   , 32 , -   , * , -   , 16 , 22 , -   , -   , -   , 29 , * , 357 , 240 , -   , -   , * , 7 , 6 , 10 ,1213,NT204,,,
2415," Nuffield Health, Cambridge Hospital ", * , 9 , -   , -   , -   , 16 , 134 , 6 , 8 , 15 , 17 , * , 318 , 32 , -   , -   , -   , -   , * , * ,1213,NT209,,,
2416," Nuffield Health, Ipswich Hospital ", * , 14 , * , -   , -   , 21 ," 1,104 ", -   , 22 , -   , 163 , * , 67 , 15 , -   , -   , -   , 9 , * , -   ,1213,NT222,,,
2417, Oaks Hospital , 33 , 87 , 29 , 10 , * , 59 , 268 , 15 , 181 , 106 ," 1,276 ", 67 ," 1,030 ", 570 , * , -   , 11 , 180 , 18 , 75 ,1213,NVC13,,,
2418, Papworth Hospital NHS Foundation Trust , 55 , 786 , 179 , 697 , 36 ," 4,157 ", -   , -   ," 10,410 "," 4,085 ", 11 , * , 113 , * , * , -   , 352 ," 1,144 ", 324 ," 1,249 ",1213,RGM,,,
2419, Peterborough and Stamford Hospitals NHS Foundation Trust ," 2,408 "," 9,835 "," 1,510 ", 777 , 337 ," 1,305 "," 2,088 ", 517 ," 5,971 "," 5,505 "," 9,388 "," 1,899 "," 6,621 "," 5,449 "," 6,298 "," 1,391 ", 410 ," 11,231 "," 6,149 "," 6,844 ",1213,RGN,,,
2420, Pinehill Hospital , 36 , 104 , 8 , * , * , 112 , 483 , 36 , 121 , 138 , 731 , 32 ," 1,044 ", 334 , -   , -   , * , 105 , 21 , 57 ,1213,NVC15,,,
2421, Rivers Hospital , 69 , 137 , 33 , 9 , * , 41 , 800 , 33 , 163 , 200 ," 2,297 ", 47 ," 1,409 ", 969 , * , -   , 10 , 282 , 27 , 129 ,1213,NVC19,,,
2422, South Essex Partnership University NHS Foundation Trust , 7 , 9 , * , 8 ," 2,265 ", 212 , * , * , 88 , 72 , 19 , 25 , 48 , 80 , -   , -   , -   , 569 , 135 , 108 ,1213,RWN,,,
2423, Southend University Hospital NHS Foundation Trust ," 1,471 "," 16,365 "," 1,705 "," 1,156 ", 456 ," 1,474 "," 4,553 ", 379 ," 5,500 "," 4,154 "," 8,697 "," 1,700 "," 7,816 "," 5,627 "," 7,437 ", 893 , 251 ," 10,632 "," 4,872 "," 6,585 ",1213,RAJ,,,
2424, Spire Bushey Hospital , -   , 12 , -   , -   , -   , 15 , -   , * , 24 , 15 , 59 , 9 , 236 , 45 , -   , -   , * , 9 , 6 , 18 ,1213,NT315,,,
2425, Spire Cambridge Lea Hospital , -   , 17 , -   , * , -   , * , -   , -   , -   , -   , 58 , 9 , 739 , -   , -   , -   , -   , -   , 14 , * ,1213,NT317,,,
2426, Spire Harpenden Hospital , -   , 30 , -   , -   , -   , 12 , 307 , 7 , -   , 56 , 50 , 25 , 491 , 51 , -   , -   , * , * , 23 , 6 ,1213,NT316,,,
2427, Spire Hartswood Hospital , * , 22 , -   , * , -   , 57 , 95 , 27 , 7 , 127 , 63 , 48 , 618 , 94 , -   , -   , * , 28 , 9 , 28 ,1213,NT319,,,
2428, Spire Norwich Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 884 , -   , -   , -   , -   , -   , 16 , -   ,1213,NT318,,,
2429, Spire Wellesley Hospital , -   , 54 , * , * , -   , 131 , 179 , 16 , * , 37 , 192 , 30 , 954 , 188 , -   , -   , * , 20 , 62 , 19 ,1213,NT313,,,
2430, Springfield Hospital , 19 , 121 , 19 , 23 , -   , 42 , 461 , 16 , 89 , 114 , 792 , 34 ," 1,341 "," 1,224 ", -   , -   , 9 , 159 , 24 , 142 ,1213,NVC18,,,
2431, Suffolk Community Healthcare Hq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 609 , -   , -   ,1213,NHM01,,,
2432, Suffolk PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 589 , -   , -   ,1213,5PT,,,
2433, The Princess Alexandra Hospital NHS Trust , 915 ," 7,208 "," 1,303 "," 1,092 ", 258 , 870 ," 1,417 ", 316 ," 3,813 "," 3,466 "," 6,515 ", 813 ," 4,343 "," 3,856 "," 6,142 ", 608 , 217 ," 7,829 "," 3,389 "," 6,053 ",1213,RQW,,,
2434," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust "," 1,689 "," 9,929 "," 2,514 ", 924 , 252 , 883 ," 3,820 ", 284 ," 3,273 "," 4,114 "," 8,950 "," 1,509 "," 4,505 "," 4,957 "," 6,283 ", 988 , 195 ," 7,928 "," 3,664 "," 4,726 ",1213,RCX,,,
2435, West Essex PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 282 , -   , -   ,1213,5PV,,,
2436, West Hertfordshire Hospitals NHS Trust ," 2,516 "," 6,954 "," 1,351 "," 1,423 ", 467 ," 1,175 "," 2,008 ", 415 ," 5,350 "," 5,067 "," 10,569 "," 1,568 "," 7,431 "," 5,876 "," 9,243 "," 2,422 ", 633 ," 13,293 "," 5,565 "," 6,960 ",1213,RWG,,,
2437, West Suffolk NHS Foundation Trust ," 1,373 "," 8,628 ", 502 , 707 , 316 , 930 ," 2,147 ", 412 ," 3,384 "," 3,776 "," 6,296 "," 1,680 "," 4,118 "," 4,173 "," 3,862 ", 878 , 202 ," 5,173 "," 3,639 "," 2,981 ",1213,RGR,,,
2438,,,,,,,,,,,,,,,,,,,,,,1213,,,,
2439, LONDON STRATEGIC HEALTH AUTHORITY ," 51,589 "," 210,689 "," 53,121 "," 40,296 "," 38,861 "," 65,982 "," 80,276 "," 10,642 "," 144,111 "," 123,246 "," 272,824 "," 42,530 "," 157,900 "," 159,218 "," 247,232 "," 40,404 "," 27,235 "," 236,788 "," 135,231 "," 217,747 ",1213,Q36,,,
2440, Aspen - Highgate Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , 35 , 16 , * , -   , -   , * , * , * ,1213,NYW03,,,
2441, Aspen - Parkside Hospital , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   ,1213,NYW02,,,
2442," Barking, Havering and Redbridge University Hospitals NHS Trust "," 3,251 "," 8,112 "," 1,561 "," 1,739 "," 1,022 "," 2,781 "," 3,887 ", 755 ," 7,473 "," 9,086 "," 16,265 "," 3,149 "," 7,772 "," 11,070 "," 12,063 "," 3,039 ", 473 ," 14,991 "," 7,271 "," 11,250 ",1213,RF4,,,
2443, Barnet and Chase Farm Hospitals NHS Trust ," 2,777 "," 11,861 "," 1,738 "," 1,505 ", 570 ," 1,517 "," 1,254 ", 475 ," 5,441 "," 6,329 "," 15,279 "," 3,029 "," 7,036 "," 7,797 "," 14,264 "," 2,183 ", 240 ," 12,410 "," 5,860 "," 14,983 ",1213,RVL,,,
2444," Barnet, Enfield and Haringey Mental Health NHS Trust ", * , -   , -   , * ," 2,183 ", 42 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , 22 ,1213,RRP,,,
2445, Barts Health NHS Trust ," 6,296 "," 17,516 "," 5,316 "," 3,301 "," 2,313 "," 5,252 "," 4,892 "," 1,195 "," 16,984 "," 14,370 "," 27,471 "," 4,281 "," 15,381 "," 15,379 "," 24,422 "," 5,364 "," 1,811 "," 28,385 "," 17,190 "," 20,429 ",1213,R1H,,,
2446, BMI - Bishops Wood , * , 25 , * , * , -   , 10 , 572 , 7 , 59 , 52 , 138 , 20 , 367 , 56 , -   , -   , -   , 39 , * , * ,1213,NT405,,,
2447, BMI - Chelsfield Park Hospital , -   , 7 , -   , * , -   , * , 11 , -   , -   , -   , 41 , * , 201 , 70 , -   , -   , * , 11 , -   , * ,1213,NT409,,,
2448, BMI - Shirley Oaks Hospital , 9 , 28 , * , * , -   , 49 , 194 , 6 , 76 , 28 , 226 , 8 , 446 , 140 , -   , -   , 6 , 65 , 6 , 40 ,1213,NT436,,,
2449, BMI - The Blackheath Hospital , * , 30 , -   , * , -   , * , 118 , 12 , * , 55 , 210 , * , 482 , 207 , * , -   , * , 61 , 6 , 88 ,1213,NT406,,,
2450, BMI - The Clementine Churchill Hospital , * , 39 , -   , 7 , -   , 45 , -   , 24 , 59 , 89 , 317 , 21 , 763 , 268 , -   , -   , * , 92 , 10 , 8 ,1213,NT411,,,
2451, BMI - The Garden Hospital , -   , 24 , -   , -   , -   , 17 , 50 , -   , * , -   , 37 , 7 , 156 , 108 , -   , -   , * , * , * , * ,1213,NT416,,,
2452, BMI - The Kings Oak Hospital , * , 15 , * , -   , -   , 30 , 44 , -   , 27 , 13 , 120 , 18 , 501 , 114 , -   , -   , * , 38 , * , 43 ,1213,NT421,,,
2453, BMI - The London Independent Hospital , 20 , 43 , * , * , * , 37 , 62 , 8 , 172 , 60 , 364 , 31 , 833 , 202 , -   , -   , * , 85 , 29 , 10 ,1213,NT422,,,
2454, BMI - The Sloane Hospital , -   , 24 , -   , * , -   , * , 31 , -   , -   , 10 , 38 , 18 , 156 , 31 , -   , -   , * , * , * , 27 ,1213,NT437,,,
2455, BMI - Fitzroy , * , * , -   , * , -   , 9 , -   , -   , 7 , -   , * , 8 , 46 , 29 , -   , -   , * , -   , * , * ,1213,NT495,,,
2456, BMI - The Cavell Hospital , -   , 38 , -   , -   , -   , 42 , 60 , * , 22 , 27 , 88 , 30 , 357 , 118 , -   , -   , 7 , 15 , * , 14 ,1213,NT451,,,
2457, Camden and Islington NHS Foundation Trust , -   , -   , -   , * , 842 , * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 861 , -   , 20 ,1213,TAF,,,
2458, Camden PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 386 , -   , -   ,1213,5K7,,,
2459, Central and North West London NHS Foundation Trust , -   , -   , -   , * ," 3,219 ", * , -   , -   , * , * , * , -   , * , -   , * , -   , -   , 159 , -   , 25 ,1213,RV3,,,
2460, Chelsea and Westminster Hospital NHS Foundation Trust ," 2,746 "," 2,990 ", 874 ," 1,045 ", 332 , 831 ," 1,349 ", 181 ," 1,780 "," 2,654 "," 10,400 "," 1,684 "," 4,303 "," 3,888 "," 11,225 "," 1,867 "," 1,029 "," 5,419 "," 7,110 "," 8,213 ",1213,RQM,,,
2461, Croydon Health Services NHS Trust ," 1,909 "," 3,635 "," 1,469 "," 1,098 ", 493 , 913 ," 3,095 ", 252 ," 4,284 "," 4,273 "," 10,766 "," 1,177 "," 3,264 "," 5,791 "," 9,128 "," 1,126 ", 319 ," 9,058 "," 3,619 "," 7,383 ",1213,RJ6,,,
2462, Ealing Hospital NHS Trust ," 1,223 "," 2,342 ", 909 , 769 , 509 , 380 , 56 , 44 ," 2,459 "," 2,466 "," 5,163 ", 977 ," 2,037 "," 3,173 "," 5,000 ", 954 , 83 ," 6,596 "," 3,149 "," 3,204 ",1213,RC3,,,
2463, East London NHS Foundation Trust , -   , -   , * , 7 ," 3,354 ", 18 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 16 , * , 77 ,1213,RWK,,,
2464, Enfield PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 278 , -   , -   ,1213,5C1,,,
2465, Epsom and St Helier University Hospitals NHS Trust ," 1,964 "," 3,896 "," 1,499 "," 1,323 ", 535 ," 1,243 "," 3,952 ", 498 ," 3,754 "," 4,998 "," 11,833 "," 1,165 "," 10,169 "," 8,520 "," 8,080 "," 2,070 ", 508 ," 11,060 "," 5,774 "," 8,638 ",1213,RVR-X,,,
2466, Great Ormond Street Hospital For Children NHS Foundation Trust , 244 ," 5,669 ", 864 ," 2,238 ", * ," 2,350 ", 386 , 502 , 884 ," 1,459 "," 2,859 ", 563 ," 4,314 "," 4,600 ", * , 310 ," 8,727 ", 745 , 569 , 102 ,1213,RP4,,,
2467, Guy's and St Thomas' NHS Foundation Trust ," 1,866 "," 8,586 "," 2,189 "," 1,755 "," 1,696 "," 5,241 "," 3,957 ", 807 ," 9,052 "," 7,014 "," 19,854 "," 2,214 "," 10,241 "," 10,401 "," 10,269 ", 584 ," 3,318 "," 12,512 "," 10,125 "," 13,037 ",1213,RJ1-X,,,
2468, Havering PCT , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , * , * , * , -   , -   , -   , 17 , -   , -   ,1213,5A4,,,
2469, Homerton University Hospital NHS Foundation Trust ," 1,569 "," 1,736 "," 2,690 ", 947 , 614 , 686 , 78 , 178 ," 2,203 "," 2,809 "," 7,647 "," 1,038 "," 3,112 "," 2,970 "," 12,093 "," 1,566 ", 196 ," 4,461 "," 2,430 "," 7,213 ",1213,RQX,,,
2470, Hounslow and Richmond Community Healthcare NHS Trust , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 385 , -   , -   ,1213,RY9,,,
2471, Imperial College Healthcare NHS Trust ," 3,426 "," 14,231 "," 4,318 "," 3,678 "," 1,041 "," 8,794 "," 5,113 ", 632 ," 13,830 "," 8,153 "," 14,786 "," 2,264 "," 9,629 "," 13,936 "," 19,646 "," 2,485 ", 884 ," 17,429 "," 8,966 "," 19,886 ",1213,RYJ,,,
2472, King's College Hospital NHS Foundation Trust ," 2,102 "," 10,853 "," 3,149 "," 3,850 ", 588 ," 3,003 "," 3,805 ", 127 ," 9,373 "," 3,961 "," 19,352 "," 2,445 "," 4,971 "," 5,629 "," 15,447 "," 1,180 "," 1,001 "," 9,471 "," 6,533 "," 11,781 ",1213,RJZ,,,
2473, Kingston Hospital NHS Trust ," 1,281 "," 3,241 ", 634 , 656 , 237 , 706 ," 2,318 ", 251 ," 3,223 "," 3,654 "," 7,043 "," 1,253 "," 4,401 "," 3,824 "," 13,729 "," 1,283 ", 140 ," 4,347 "," 2,920 "," 10,417 ",1213,RAX,,,
2474, Kingston PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 152 , -   , -   ,1213,5A5,,,
2475, Lewisham Healthcare NHS Trust ," 1,694 "," 4,447 "," 1,611 ", 840 , 366 , 732 , 83 , 753 ," 2,598 "," 4,471 "," 5,999 "," 1,537 "," 3,638 "," 3,542 "," 10,687 "," 1,109 ", 565 ," 4,793 "," 3,354 "," 5,821 ",1213,RJ2,,,
2476, Moorfields Eye Hospital NHS Foundation Trust , 15 , 594 , * , 48 , -   , 8 ," 26,643 ", * , 7 , -   , * , 80 , 11 , -   , -   , -   , 554 , 16 , 718 , 59 ,1213,RP6-X,,,
2477, Newham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   ,1213,5C5,,,
2478, North East London NHS Foundation Trust , 18 , 27 , 7 , 20 ," 1,487 ", 98 , * , * , 126 , 78 , 30 , 51 , 106 , 65 , -   , -   , -   , 634 , 255 , 50 ,1213,RAT,,,
2479, North East London Treatment Centre Care Uk , 43 , 252 , 30 , * , -   , 256 , 820 , -   , 550 , 13 ," 2,227 ", 175 ," 1,681 ", * , -   , -   , * , 201 , 41 , 44 ,1213,NTP15,,,
2480, North Middlesex University Hospital NHS Trust ," 1,585 "," 8,118 "," 3,303 ", 849 , 283 , 575 ," 1,206 ", 40 ," 2,642 "," 2,094 "," 4,949 ", 722 ," 3,089 "," 3,010 "," 5,550 "," 1,535 ", 165 ," 4,069 "," 1,944 "," 3,995 ",1213,RAP,,,
2481, North West London Hospitals NHS Trust ," 3,211 "," 8,685 "," 2,693 "," 1,988 ", 470 ," 1,439 "," 2,017 ", 653 ," 7,164 "," 6,606 "," 14,958 "," 1,998 "," 6,173 "," 7,580 "," 10,999 "," 2,412 ", 340 ," 13,021 "," 6,398 "," 8,397 ",1213,RV8,,,
2482, Oxleas NHS Foundation Trust , -   , -   , -   , -   ," 2,532 ", 45 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 119 , -   , 17 ,1213,RPG,,,
2483, Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   ,1213,5M6,,,
2484, Royal Brompton and Harefield NHS Foundation Trust , 228 ," 1,458 "," 1,456 "," 2,187 ", 6 ," 3,019 ", * , * ," 11,417 "," 7,034 ", 95 , 49 , 158 , 15 , * , 11 ," 1,957 "," 3,479 ", 543 ," 1,227 ",1213,RT3,,,
2485, Royal Free London NHS Foundation Trust ," 2,099 "," 5,423 "," 1,557 "," 1,478 ", 376 ," 1,291 "," 4,451 ", 195 ," 4,960 "," 3,027 "," 7,895 "," 2,302 "," 3,458 "," 4,147 "," 4,400 ", 508 , 595 ," 8,492 "," 6,532 "," 6,799 ",1213,RAL,,,
2486, Royal National Orthopaedic Hospital NHS Trust , 14 ," 1,626 ", -   , 10 , * ," 1,207 ", -   , -   , 8 , * , 8 , 79 ," 9,474 ", 274 , -   , 69 , 560 , 605 ," 1,753 ", 151 ,1213,RAN,,,
2487, South London and Maudsley NHS Foundation Trust , -   , -   , -   , * ," 6,994 ", * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 309 , * , 190 ,1213,RV5,,,
2488, South London Healthcare NHS Trust ," 3,522 "," 19,977 "," 2,831 "," 2,425 ", 778 ," 2,714 "," 6,442 ", 630 ," 7,669 "," 7,575 "," 19,566 "," 3,716 "," 11,998 "," 13,053 "," 18,395 "," 3,032 ", 356 ," 19,482 "," 7,413 "," 17,694 ",1213,RYQ,,,
2489, South West London and St George's Mental Health NHS Trust , -   , -   , -   , * ," 1,815 ", 7 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 44 , 11 , 72 ,1213,RQY,,,
2490, Spire Roding Hospital , * , 51 , -   , * , -   , 17 , -   , 37 , 57 , 123 , 330 , 42 , 449 , 260 , -   , -   , 7 , 44 , 8 , 16 ,1213,NT314,,,
2491, St George's Healthcare NHS Trust ," 1,671 "," 7,953 "," 1,317 "," 1,612 ", 653 ," 4,697 ", 291 , 706 ," 11,029 "," 5,805 "," 10,642 "," 1,738 "," 4,804 "," 10,596 "," 9,923 ", 813 ," 1,384 "," 11,055 "," 9,530 "," 9,340 ",1213,RJ7,,,
2492, The Hillingdon Hospitals NHS Foundation Trust ," 1,726 "," 3,925 "," 1,220 ", 921 , 397 ," 1,175 "," 2,131 ", 71 ," 2,509 "," 2,931 "," 6,813 "," 1,147 "," 6,580 "," 4,143 "," 6,902 "," 1,151 ", 174 ," 7,513 "," 3,487 "," 4,675 ",1213,RAS,,,
2493, The Royal Marsden NHS Foundation Trust , 229 ," 15,047 "," 1,143 ", 202 , * , 16 , * , * , 85 , 261 , 877 , 159 , 43 , 417 , * , -   , 14 , 523 , 208 ," 2,648 ",1213,RPY,,,
2494, The Whittington Hospital NHS Trust ," 1,162 "," 3,899 "," 3,048 ", 894 , 478 , 554 , 101 , 77 ," 1,631 "," 2,529 "," 5,649 ", 982 ," 4,108 "," 3,875 "," 8,480 "," 1,067 ", 145 ," 5,487 "," 3,091 "," 5,762 ",1213,RKE,,,
2495, University College London Hospitals NHS Foundation Trust ," 2,281 "," 32,949 "," 5,101 "," 2,341 ", 995 ," 13,534 ", 748 ," 1,227 "," 8,563 "," 5,572 "," 16,424 "," 1,337 "," 8,289 "," 6,838 "," 9,815 "," 3,564 "," 1,424 "," 9,527 "," 4,543 "," 9,204 ",1213,RRV,,,
2496, Wandsworth PCT , 13 , 16 , 20 , 21 , 29 , 42 , -   , -   , 121 , 75 , 29 , 16 , 49 , 64 , -   , * , * , 54 , 166 , -   ,1213,5LG,,,
2497, West London Mental Health NHS Trust , -   , -   , -   , -   ," 1,062 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 98 , -   , -   ,1213,RKL,,,
2498, West Middlesex University Hospital NHS Trust ," 1,378 "," 1,297 ", 559 , 521 , 530 , 542 , 51 , 288 ," 1,802 "," 3,481 "," 6,032 ", 990 ," 2,814 "," 2,994 "," 6,705 "," 1,121 ", 223 ," 7,091 "," 3,648 "," 4,658 ",1213,RFW,,,
2499, Your Healthcare (Hollyfield House) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 542 , -   , -   ,1213,NNV01,,,
2500,,,,,,,,,,,,,,,,,,,,,,1213,,,,
2501, NORTH EAST STRATEGIC HEALTH AUTHORITY ," 25,678 "," 125,561 "," 18,199 "," 14,956 "," 9,290 "," 21,855 "," 47,111 "," 5,727 "," 56,516 "," 56,669 "," 112,005 "," 21,444 "," 74,276 "," 52,587 "," 58,725 "," 10,223 "," 6,658 "," 104,934 "," 60,241 "," 66,317 ",1213,Q30,,,
2502, BMI - Woodlands Hospital , 6 , 75 , * , * , -   , 80 , 363 , * , 64 , 27 , 242 , 35 ," 1,247 ", 415 , -   , -   , 6 , 57 , 32 , 32 ,1213,NT457,,,
2503, City Hospitals Sunderland NHS Foundation Trust ," 2,677 "," 14,406 "," 2,508 "," 3,015 ", 807 ," 3,034 "," 19,116 "," 1,245 "," 6,686 "," 7,487 "," 11,812 "," 1,857 "," 7,297 "," 8,787 "," 6,669 ", 717 , 421 ," 13,175 "," 6,861 "," 8,802 ",1213,RLN,,,
2504, Cobalt NHS Treatment Centre , 101 , 498 , 15 , * , * , 68 , * , * , 438 , -   ," 1,905 ", 637 , 262 , * , -   , -   , * , 179 , * , 21 ,1213,NVC29,,,
2505, County Durham and Darlington NHS Foundation Trust ," 4,278 "," 13,799 "," 2,223 "," 1,585 ", 719 ," 2,037 "," 7,593 ", 832 ," 7,931 "," 9,719 "," 16,336 "," 4,251 "," 9,181 "," 6,375 "," 11,737 "," 2,138 ", 576 ," 17,260 "," 10,749 "," 8,644 ",1213,RXP,,,
2506, Gateshead Health NHS Foundation Trust ," 2,408 "," 7,589 "," 1,300 ", 906 , 474 , 782 , 39 , 100 ," 3,178 "," 4,303 "," 7,316 "," 1,079 "," 4,546 "," 3,826 "," 2,652 ", 914 , 96 ," 8,145 "," 3,814 "," 3,995 ",1213,RR7-X,,,
2507, North Tees and Hartlepool NHS Foundation Trust ," 2,547 "," 10,688 "," 2,283 "," 1,118 ", 420 ," 1,062 ", 51 , 109 ," 3,797 "," 5,172 "," 12,148 "," 1,059 "," 6,719 "," 5,370 "," 6,087 ", 896 , 159 ," 12,895 "," 5,042 "," 6,187 ",1213,RVW,,,
2508," Northumberland, Tyne and Wear NHS Foundation Trust ", -   , -   , -   , * ," 1,588 ", 12 , -   , * , * , -   , -   , -   , -   , -   , -   , -   , * ," 1,863 ", * , 60 ,1213,RX4,,,
2509, Northumbria Healthcare NHS Foundation Trust ," 3,971 "," 14,784 "," 1,977 "," 1,815 "," 1,416 "," 2,519 ", 153 , 177 ," 7,298 "," 7,131 "," 16,621 "," 1,592 "," 11,370 "," 7,319 "," 6,696 "," 1,324 ", 167 ," 11,294 "," 7,872 "," 7,633 ",1213,RTF,,,
2510," Nuffield Health, Newcastle-Upon-Tyne Hospital ", 26 , 15 , -   , -   , -   , -   , -   , -   , 6 , -   , 201 , -   , 206 , -   , -   , -   , -   , 38 , 10 , 74 ,1213,NT229,,,
2511," Nuffield Health, Tees Hospital ", 37 , 315 , 10 , 43 , -   , 109 ," 1,231 ", 8 , 10 , * , 617 , 222 ," 1,318 ", -   , -   , -   , * , 140 , 74 , 35 ,1213,NT237,,,
