 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,"1,221","9,877","1,019",807,561,"1,826","3,880",704,"6,376","5,892","10,896","3,045","6,951","5,793","5,389","1,042",548,"10,509","6,505","6,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVY SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,870,"4,921","1,776","1,132",499,798,"3,172",258,"3,753","3,490","7,756","1,191","5,417","3,395","4,703",962,176,"6,274","3,904","4,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3-X CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"1,245","10,267","2,887","4,081",705,"1,770","10,793","1,153","8,242","5,608","16,163","1,844","6,134","8,907","10,491","2,182","3,414","17,172","8,965","10,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4 MERSEY CARE NHS TRUST,0,0,0,0,"2,853",133,0,0,0,*,0,0,0,*,0,0,0,31,16,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW5 LANCASHIRE CARE NHS FOUNDATION TRUST,0,0,0,0,"3,564",256,0,0,0,0,0,0,0,0,0,0,*,209,*,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW6 PENNINE ACUTE HOSPITALS NHS TRUST,"4,926","13,418","3,635","3,374","1,127","3,021","7,008","1,353","13,769","14,066","30,448","5,072","20,706","14,161","22,476","4,124",952,"24,680","13,152","15,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWJ STOCKPORT NHS FOUNDATION TRUST,"1,408","4,917","1,194",953,685,"1,329","2,845",477,"4,969","4,676","11,726","1,423","7,060","6,794","9,157","2,060",363,"10,733","6,139","7,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWW WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,"1,010","4,608","1,617","1,756",795,"1,055","3,267",496,"5,806","4,544","10,812","1,369","6,341","5,647","7,070","1,946",235,"11,616","6,468","5,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,"2,480",17,0,*,*,*,*,0,0,*,0,0,*,*,11,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RXL BLACKPOOL, FYLDE AND WYRE HOSPITALS NHS FOUNDATION TRUST",943,"14,145","1,413","1,635",551,"1,136","7,873",609,"8,823","4,358","10,047","3,363","5,896","5,094","5,554",932,325,"15,262","5,259","7,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,"1,776","12,216","2,104","1,871",*,"3,484","3,021",770,"9,351","6,512","12,922","3,454","11,169","9,018","12,983",*,"1,193","12,413","9,821","10,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR EAST LANCASHIRE HOSPITALS NHS TRUST,"2,535","9,635","2,384","1,995",752,"1,995","4,940",980,"8,225","8,843","17,668","2,551","9,055","7,450","12,276","1,826",743,"15,589","8,605","10,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,0,*,0,0,"1,723",0,0,0,0,0,0,0,0,0,0,0,0,567,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAE MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,0,0,0,*,"1,128",30,0,0,0,0,0,0,0,0,19,0,0,23,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,"12,648","82,844","14,456","12,447","11,315","20,513","38,556","5,734","57,385","48,528","98,562","17,391","74,760","58,206","83,828","14,617","8,630","100,775","65,501","72,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CQ MILTON KEYNES PCT,*,7,*,0,489,21,0,0,15,23,12,12,27,15,0,0,0,148,102,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5FE PORTSMOUTH CITY TEACHING PCT,*,56,*,9,"1,098",38,0,0,47,64,18,7,30,11,"1,054",0,*,234,87,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5L1 SOUTHAMPTON CITY PCT,6,12,*,18,6,81,*,*,241,38,182,16,56,38,337,0,0,135,137,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QC HAMPSHIRE PCT,88,"1,415",389,121,84,446,"1,036",33,"1,045",774,"2,154",610,789,803,*,0,*,"1,724",538,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QD BUCKINGHAMSHIRE PCT,6,355,*,86,78,318,0,*,66,51,26,26,41,46,0,9,54,163,219,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QE OXFORDSHIRE PCT,12,96,*,18,17,38,0,0,245,110,33,39,41,194,0,0,*,279,245,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QF BERKSHIRE WEST PCT,17,416,32,37,19,100,*,0,153,83,37,32,51,80,0,0,*,141,135,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QG BERKSHIRE EAST PCT,0,6,*,26,11,13,0,0,43,27,*,9,26,22,0,0,0,46,98,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QT ISLE OF WIGHT NHS PCT,304,"1,882",181,262,547,645,"1,240",176,"1,656","1,589","3,234",649,"2,129","1,489","1,587",412,75,"2,947","2,104","1,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT304 SPIRE SOUTHAMPTON HOSPITAL,0,*,0,8,0,*,0,0,0,0,11,*,54,18,0,0,0,0,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT305 SPIRE PORTSMOUTH HOSPITAL,0,*,0,0,0,0,0,0,0,0,25,*,247,0,0,0,0,0,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT343 SPIRE THAMES VALLEY HOSPITAL,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT344 SPIRE DUNEDIN HOSPITAL,0,0,0,0,0,*,10,0,0,*,31,0,18,0,0,0,0,7,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT345 SPIRE CLARE PARK HOSPITAL,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT410 BMI - THE CHILTERN HOSPITAL,0,0,0,0,0,*,0,0,*,*,14,0,38,*,0,0,0,7,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT415 BMI - THE FOSCOTE HOSPITAL,0,0,*,0,0,9,0,0,*,0,27,0,15,*,0,0,0,*,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT418 BMI - THE HAMPSHIRE CLINIC,0,*,0,0,*,*,12,0,0,12,50,7,35,*,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT428 BMI - THE PRINCESS MARGARET HOSPITAL,0,*,*,0,0,*,12,0,0,0,13,*,30,19,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT433 BMI - SARUM ROAD HOSPITAL,0,0,0,0,0,16,0,0,0,0,18,*,36,12,0,0,0,8,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT434 BMI - THE SAXON CLINIC,*,32,*,*,0,35,35,0,75,*,169,80,147,50,0,0,*,70,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT435 BMI - THE SHELBURNE HOSPITAL,0,0,0,0,0,0,0,0,0,*,0,*,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP11 SOUTHAMPTON NHS TREATMENT CENTRE,0,39,*,0,*,48,56,13,38,36,255,34,165,82,0,0,*,315,*,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC02 THE BERKSHIRE INDEPENDENT HOSPITAL,0,9,*,0,*,38,0,0,6,0,252,*,672,39,0,0,*,70,9,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC25 HORTON NHS TREATMENT CENTRE,*,*,0,0,0,284,0,0,0,0,0,17,"3,240",0,0,0,*,14,49,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC31 BLAKELANDS NHS TREATMENT CENTRE,0,103,*,0,0,102,341,0,73,0,819,58,627,*,0,0,7,394,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF-X NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,19,336,18,18,*,839,0,0,55,*,*,174,"7,299",*,0,0,94,14,874,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7 HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,785,"5,614","1,142","1,004",250,"1,281",126,490,"5,446","4,186","11,465","2,078","5,832","6,547","7,548","1,282",519,"8,235","6,159","6,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD8 MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,"1,158","4,648",939,834,414,902,"1,295",410,"3,318","3,714","6,789","1,008","4,191","3,598","8,275",475,231,"8,495","3,941","5,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,"2,953","15,177","2,992","1,748",981,"3,382","4,599",736,"8,882","8,954","8,860","1,926","8,096","7,573","9,275","1,351","2,487","12,797","9,884","9,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHU PORTSMOUTH HOSPITALS NHS TRUST,"2,013","9,263","1,805","1,669",577,"2,604","6,895","1,267","8,301","8,390","15,804","2,640","13,261","8,445","10,113","1,793",673,"16,402","10,628","9,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHW ROYAL BERKSHIRE NHS FOUNDATION TRUST,"1,351","6,462","1,524","1,276",287,"1,529","9,002",657,"5,513","5,138","9,735","1,266","7,985","6,660","11,530","2,036",499,"8,763","5,221","8,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX OXFORDSHIRE LEARNING DISABILITY NHS TRUST,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN1-X WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,448,"3,543",754,473,131,773,"1,663",282,"2,332","2,127","6,021",805,"3,522","3,581","4,810","1,212",93,"4,532","2,920","3,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5T1 NORTH HAMPSHIRE HOSPITALS NHS TRUST TREATMENT CENTRE,12,"1,204",202,22,*,258,49,237,352,320,"3,360",280,"1,337","1,631",*,0,32,"1,139",39,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5-X BASINGSTOKE AND NORTH HAMPSHIRE NHS FOUNDATION TRUST,817,"1,814",213,778,571,638,"2,496",77,"2,680","2,459","2,366",698,"3,142","1,802","3,867",859,247,"4,753","3,655","2,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNU OXFORDSHIRE AND BUCKINGHAMSHIRE MENTAL HEALTH NHS FOUNDATION TRUST,0,0,0,0,"1,070",22,0,0,0,0,0,0,0,0,0,0,0,488,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH OXFORD RADCLIFFE HOSPITALS NHS TRUST,"1,559","18,960","3,161","2,965",559,"4,228","4,659",900,"11,425","6,866","17,534","2,925","4,207","9,634","15,058","3,370","3,059","17,653","12,738","12,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW1 HAMPSHIRE PARTNERSHIP NHS FOUNDATION TRUST,*,*,0,*,"2,657",287,0,0,*,0,*,0,0,*,0,0,0,480,12,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWX BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,"1,253",0,0,0,0,0,0,0,0,0,0,0,*,*,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXQ BUCKINGHAMSHIRE HOSPITALS NHS TRUST,"1,086","11,378","1,069","1,071",177,"1,527","5,019",452,"5,372","3,556","9,233","1,980","7,338","5,801","10,371","1,818",541,"10,299","5,697","9,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
