,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QQ, 5QQ Devon PCT , 75 , 942 , 434 , 184 , 168 , 312 , 8 , 20 , 967 , 726 , 620 , 388 , 565 , 458 , -   , -   , 6 ," 1,447 "," 1,398 ", 101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT202," NT202 Nuffield Health, Bournemouth Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT215," NT215 Nuffield Health, Exeter Hospital ", -   , * , -   , -   , -   , * , 35 , -   , -   , -   , -   , -   , 533 , -   , -   , -   , * , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT233," NT233 Nuffield Health, Plymouth Hospital ", * , 63 , -   , -   , -   , 41 , -   , -   , 141 , -   , 367 , 66 , 483 , 124 , -   , -   , * , 35 , * , 200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT238," NT238 Nuffield Health, Taunton Hospital ", -   , * , -   , -   , -   , 47 , 56 , -   , 9 , -   , -   , * , 79 , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT302, NT302 Spire Bristol Hospital , -   , 35 , -   , -   , -   , 23 , -   , 57 , 29 , 63 , 33 , * , 716 , 115 , -   , -   , 8 , 13 , 28 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT402, NT402 BMI - Bath Clinic , * , 38 , -   , * , -   , 73 , 43 , * , 12 , * , 211 , 74 , 635 , 140 , -   , -   , * , 41 , 8 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT419, NT419 BMI - The Harbour Hospital , -   , * , -   , -   , -   , 62 , 509 , -   , 16 , -   , 54 , -   , 73 , -   , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT430, NT430 BMI - The Ridgeway Hospital , -   , 42 , 6 , * , -   , 44 , 314 , * , 171 , * , 377 , 25 , 424 , 481 , -   , -   , * , 123 , 6 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT443, NT443 BMI - The Winterbourne Hospital , -   , -   , -   , -   , -   , -   , 217 , -   , -   , -   , 19 , -   , 32 , -   , -   , -   , * , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC01, NTC01 Shepton Mallet NHS Treatment Centre , 14 , 101 , 22 , -   , -   , 468 ," 2,226 ", 14 , 31 , 23 ," 1,674 ", 202 ," 2,314 ", 41 , -   , -   , -   , 174 , 23 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC02, NTC02 Emersons Green NHS Treatment Centre , * , 199 , 17 , 21 , -   , 326 ," 2,081 ", 176 , 377 , 666 ," 2,215 ", 65 ," 1,869 ", 652 , -   , -   , * , 504 , 128 , 60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC03, NTC03 Devizes NHS Treatment Centre , 6 , 136 , 26 , 6 , -   , 67 ," 1,076 ", 63 , 175 , 59 ," 1,292 ", 85 , 387 , 169 , * , -   , * , 182 , 57 , 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC04, NTC04 Cirencester NHS Treatment Centre , -   , 28 , -   , * , -   , 54 , * , 48 , 61 , 9 , 485 , 21 , 186 , 95 , -   , -   , -   , 46 , 36 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC05, NTC05 Peninsula NHS Treatment Centre , -   , * , -   , * , -   , 139 , -   , -   , * , * , * , 6 ," 1,429 ", -   , -   , -   , -   , * , 81 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTY48, NTY48 Tetbury Hospital , -   , * , -   , -   , -   , 35 , * , -   , -   , -   , -   , 6 , 80 , 38 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV302, NV302 Circle Bath , * , 11 , -   , * , -   , 23 , 152 , 8 , 19 , 17 , 50 , 10 , 205 , 62 , -   , -   , * , 12 , 7 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC04, NVC04 Duchy Hospital , * , 137 , * , 8 , -   , 170 , * , * , 241 , 25 , 120 , 23 ," 1,215 ", 38 , -   , -   , 73 , 192 , 401 , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC08, NVC08 Mount Stuart Hospital , -   , 61 , * , * , -   , 17 , 111 , * , 67 , 80 , 352 , 34 , 634 , 466 , -   , -   , * , 114 , * , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC09, NVC09 New Hall Hospital , * , * , -   , * , -   , 99 , 60 , -   , 22 , -   , 59 , 48 ," 1,355 ", 129 , -   , -   , * , 75 , 43 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC22, NVC22 Winfield Hospital , -   , 48 , 18 , * , -   , 104 , -   , -   , * , 50 , 522 , 7 , 606 , 237 , -   , -   , * , 327 , 101 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC24, NVC24 Bodmin NHS Treatment Centre , 15 , 101 , 43 , -   , * , * ," 1,010 ", -   , 218 , * ," 1,964 ", 228 , * , 68 , 323 , -   , 7 , 301 , * , 90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA3, RA3 Weston Area Health NHS Trust , 287 ," 5,431 ", 491 , 456 , 122 , 531 , 23 , 68 ," 1,756 "," 1,704 "," 3,745 ", 819 ," 1,808 "," 2,475 "," 1,356 ", 172 , 36 ," 3,849 "," 2,034 "," 3,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA4, RA4 Yeovil District Hospital NHS Foundation Trust , 453 ," 5,269 ", 737 , 700 , 171 , 676 ," 1,357 ", 75 ," 2,080 "," 1,618 "," 5,713 ", 803 ," 3,449 "," 2,264 "," 2,651 ", 428 , 104 ," 5,531 "," 3,449 "," 3,384 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA7, RA7 University Hospitals Bristol NHS Foundation Trust ," 1,537 "," 23,389 "," 2,310 "," 3,524 ", 607 ," 1,576 "," 8,200 ", 852 ," 8,435 "," 6,024 "," 11,663 "," 1,807 "," 3,008 "," 4,950 "," 15,276 "," 3,470 "," 2,593 "," 12,565 "," 7,528 "," 9,086 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA9, RA9 South Devon Healthcare NHS Foundation Trust , 872 ," 9,380 "," 1,137 ", 854 , 380 ," 1,251 "," 2,485 ", 589 ," 4,616 "," 3,671 "," 9,145 "," 1,134 "," 4,810 "," 3,642 "," 4,588 ", 896 , 191 ," 6,594 "," 5,271 "," 4,810 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBA, RBA Taunton and Somerset NHS Foundation Trust , 944 ," 11,727 "," 1,291 "," 1,057 ", 251 ," 1,555 "," 3,554 ", 514 ," 6,498 "," 3,905 "," 8,713 "," 1,694 "," 5,753 "," 4,447 "," 9,351 "," 1,131 ", 299 ," 10,943 "," 5,247 "," 7,469 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBB, RBB Royal National Hospital For Rheumatic Diseases NHS Foundation Trust , 25 , 34 , 99 , 22 , 9 , 32 , 6 , -   , 43 , * ," 1,025 ", 79 ," 2,004 ", * , -   , -   , 8 , 329 , 41 , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD, RBD Dorset County Hospital NHS Foundation Trust , 530 ," 3,176 ", 717 , 670 , 240 , 808 ," 3,077 ", 246 ," 3,854 "," 2,598 "," 6,136 ", 977 ," 5,983 "," 3,931 "," 3,700 ", 356 , 223 ," 5,701 "," 3,132 "," 4,187 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBZ, RBZ Northern Devon Healthcare NHS Trust , 575 ," 5,901 ", 763 , 656 , 267 , 959 ," 1,825 ", 301 ," 2,852 "," 2,340 "," 5,821 ", 685 ," 3,672 "," 3,114 "," 4,431 ", 360 , 116 ," 3,678 "," 2,646 "," 3,382 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD1, RD1 Royal United Hospital Bath NHS Trust ," 1,424 "," 7,388 "," 1,810 "," 1,051 ", 413 ," 1,467 "," 3,119 ", 505 ," 5,742 "," 4,771 "," 9,140 "," 1,428 "," 4,872 "," 3,929 "," 1,083 ", 741 , 270 ," 8,098 "," 6,891 "," 2,168 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD3, RD3 Poole Hospital NHS Foundation Trust ," 1,572 "," 6,471 "," 1,348 ", 888 , 331 ," 1,171 ", 103 , 514 ," 3,319 "," 4,674 "," 7,327 "," 1,956 "," 4,595 "," 3,007 "," 11,747 "," 1,753 ", 472 ," 7,058 "," 7,649 "," 7,005 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDY, RDY Dorset Healthcare University NHS Foundation Trust , -   , -   , -   , * ," 1,313 ", 112 , -   , -   , * , 6 , -   , -   , -   , * , -   , -   , -   , 68 , * , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDZ, RDZ The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , 552 ," 15,444 "," 2,191 "," 1,670 ", 582 ," 2,153 "," 9,163 ", 126 ," 10,386 "," 2,964 "," 10,650 "," 1,740 "," 10,427 "," 5,298 ", 984 , -   , 94 ," 11,339 "," 2,890 "," 12,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF-X, REF-X Royal Cornwall Hospitals NHS Trust ," 1,288 "," 17,323 "," 1,725 "," 2,696 ", 486 ," 1,842 "," 4,536 "," 1,148 "," 7,572 "," 5,936 "," 15,306 "," 2,063 "," 7,122 "," 6,799 "," 9,887 "," 2,203 ", 677 ," 12,524 "," 9,686 "," 8,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH5, RH5 Somerset Partnership NHS Foundation Trust , -   , -   , -   , -   , 800 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 281 , -   , 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH8, RH8 Royal Devon and Exeter NHS Foundation Trust ," 1,051 "," 22,114 "," 1,885 "," 1,563 ", 532 ," 1,736 "," 5,257 ", 683 ," 7,918 "," 4,470 "," 12,420 "," 2,572 "," 7,922 "," 7,232 "," 8,466 "," 2,098 ", 491 ," 11,440 "," 8,628 "," 8,438 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ8, RJ8 Cornwall Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,223 ", 24 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 7 , 10 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK9, RK9 Plymouth Hospitals NHS Trust ," 1,835 "," 17,199 "," 2,051 "," 1,437 ", 525 ," 2,560 "," 5,874 "," 1,276 "," 8,885 "," 6,717 "," 8,933 "," 3,206 "," 7,802 "," 6,382 "," 11,755 "," 2,100 ", 773 ," 11,052 "," 10,113 "," 7,547 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN3, RN3 Great Western Hospitals NHS Foundation Trust , 901 ," 8,505 ", 906 , 903 , 428 ," 1,693 "," 1,744 ", 392 ," 4,655 "," 4,282 "," 9,307 "," 1,096 "," 6,768 "," 4,440 "," 5,987 ", 922 , 354 ," 8,782 "," 5,581 "," 7,448 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNZ, RNZ Salisbury NHS Foundation Trust , 609 ," 5,159 ", 502 , 426 , 173 , 877 ," 1,323 ", 266 ," 3,606 "," 2,544 "," 6,349 "," 1,934 "," 4,950 "," 3,493 "," 5,959 "," 1,121 ", 686 ," 6,686 "," 5,781 "," 3,395 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE, RTE Gloucestershire Hospitals NHS Foundation Trust ," 1,490 "," 40,729 "," 2,020 "," 1,446 ", 355 ," 2,682 "," 5,584 ", 845 ," 8,127 "," 7,563 "," 17,921 "," 2,339 "," 9,893 "," 7,589 "," 12,312 "," 1,811 ", 536 ," 16,633 "," 9,255 "," 10,391 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ, RTQ 2Gether NHS Foundation Trust , -   , -   , -   , -   , 857 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 292 , * , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVJ-X, RVJ-X North Bristol NHS Trust , 627 ," 12,137 "," 2,182 "," 1,539 ", 522 ," 3,512 ", 114 , 425 ," 6,807 "," 3,914 "," 11,121 "," 2,258 "," 10,975 "," 9,001 "," 14,361 "," 3,588 "," 1,307 "," 12,067 "," 10,573 "," 8,547 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVN, RVN Avon and Wiltshire Mental Health Partnership NHS Trust , * , -   , -   , -   , 844 , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ," 2,331 ", * , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWV, RWV Devon Partnership NHS Trust , -   , -   , -   , -   , 887 , 36 , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   , 147 , -   , 46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAL, TAL Torbay Care Trust , 16 , 63 , 22 , 13 , 6 , 25 , * , * , 101 , 143 , 61 , 42 , 70 , 67 , -   , -   , -   , 48 , 287 , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q34, Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY ," 22,943 "," 191,426 "," 25,561 "," 25,288 "," 19,175 "," 35,240 "," 61,009 "," 9,627 "," 98,217 "," 90,642 "," 172,141 "," 32,173 "," 143,343 "," 104,512 "," 159,161 "," 27,610 "," 13,976 "," 178,819 "," 103,772 "," 114,505 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CN, 5CN Herefordshire PCT , 23 , 123 , 20 , 99 , 421 , 107 , * , * , 334 , 148 , 272 , 55 ," 1,070 ", 133 , * , -   , * , 373 , 416 ," 1,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M1, 5M1 South Birmingham PCT , 22 , 101 , 26 , 18 , 46 , 183 , -   , -   , 258 , 156 ," 1,782 ", 69 , 159 , 176 , -   , -   , 64 , 244 , 329 , 352 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M2, 5M2 Shropshire County PCT , 11 , 184 , 18 , 23 , 24 , 112 , * , * , 222 , 179 , 158 , 67 , 225 , 100 , -   , -   , -   , 255 , 312 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M3, 5M3 Walsall Teaching PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 29 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MK, 5MK Telford and Wrekin PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 273 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV, 5MV Wolverhampton City PCT , 7 , 19 , 14 , 15 , 460 , 45 , -   , * , 233 , 33 , 26 , 12 , 57 , 29 , -   , -   , * , 90 , 204 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MX, 5MX Heart of Birmingham Teaching PCT , -   , * , * , 7 , * , 7 , -   , * , 23 , 12 , * , * , 13 , 12 , -   , -   , -   , 98 , 37 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PH, 5PH North Staffordshire PCT , 16 , 176 , 45 , 33 , 85 , 45 , * , * , 170 , 170 , 50 , 37 , 91 , 102 , -   , -   , * , 306 , 268 , 55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PJ, 5PJ Stoke On Trent PCT , 24 , 67 , 25 , 22 , 25 , 657 , * , * , 381 , 115 , 49 , 119 ," 3,103 ", 71 , * , -   , * , 176 , 313 , 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PK, 5PK South Staffordshire PCT , 6 , 211 , 42 , * , * , 144 , -   , * , 68 , -   ," 1,018 ", 192 , 375 ," 7,133 ", 11 , 10 , * , 413 , 9 , 769 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PL, 5PL Worcestershire PCT , 29 , 399 , 57 , 41 , 32 , 243 , -   , * , 374 , 236 , 587 , 113 ," 1,228 ", 627 , 7 , -   , * , 996 , 459 , 184 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PM, 5PM Warwickshire PCT , * , 12 , * , 10 , * , 31 , -   , -   , 115 , 9 , 7 , 6 , 18 , 37 , -   , -   , * , 282 , 125 , 194 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT219," NT219 Nuffield Health, Hereford Hospital ", * , * , -   , -   , -   , -   , -   , 7 , 15 , 13 , 103 , * , 158 , 65 , -   , -   , * , 40 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT230," NT230 Nuffield Health, North Staffordshire Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT235," NT235 Nuffield Health, Shrewsbury Hospital ", -   , -   , -   , -   , -   , 19 , -   , -   , -   , -   , 32 , * , 75 , -   , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT242," NT242 Nuffield Health, Wolverhampton Hospital ", -   , * , -   , -   , -   , 57 , 602 , * , -   , -   , 70 , * , 205 , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT301, NT301 Spire South Bank Hospital , -   , 36 , * , -   , -   , 88 , * , 8 , 10 , 87 , 216 , 10 , 526 , 153 , -   , -   , * , 41 , 10 , 114 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT320, NT320 Spire Parkway Hospital , * , 27 , -   , -   , -   , 59 , 8 , -   , -   , -   , 118 , 10 , 563 , 235 , -   , -   , * , 6 , 11 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT321, NT321 Spire Little Aston Hospital , * , 47 , -   , -   , -   , 111 , -   , -   , -   , -   , 88 , 52 , 900 , 49 , -   , -   , -   , * , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT412, NT412 BMI - The Droitwich Spa Hospital , * , 48 , -   , * , -   , 196 , * , 31 , * , 85 , 138 , 39 ," 1,099 ", 173 , -   , -   , 6 , 78 , 23 , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT424, NT424 BMI - The Meriden Hospital , -   , 18 , * , -   , * , 55 , 16 , * , 56 , 48 , 194 , 15 , 815 , 117 , -   , -   , * , 108 , 6 , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT429, NT429 BMI - The Priory Hospital , -   , 28 , -   , -   , -   , * , -   , -   , -   , * , * , * , 82 , -   , -   , -   , -   , 24 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT445, NT445 BMI The Edgbaston Hospital , * , 12 , * , -   , -   , 37 , * , -   , 82 , -   , 276 , 6 , 307 , 97 , -   , -   , -   , 58 , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA03, NTA03 The Midlands NHS Treatment Centre , 10 , 590 , * , 46 , * , 326 ," 2,651 ", 80 , 182 , 36 , 595 , 534 ," 1,984 "," 2,311 ", -   , -   , 11 ," 1,020 ", 18 , 552 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC17, NVC17 Rowley Hall Hospital , -   , 19 , -   , * , -   , 31 , 551 , -   , 38 , -   , 207 , 9 , 344 , 245 , * , -   , 16 , 79 , 36 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
