"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC3, Ealing Hospital NHS Trust ," 1,166 "," 2,359 ", 748 , 805 , 504 , 400 , 43 , 51 ," 2,553 "," 2,250 "," 5,304 ", 912 ," 1,957 "," 2,981 "," 3,987 ", 979 , 53 ," 7,076 "," 3,317 ", -   ," 2,590 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWH, East and North Hertfordshire NHS Trust ," 1,755 "," 10,111 ", 824 , 900 , 339 ," 1,109 "," 1,968 ", 614 ," 4,937 "," 5,010 "," 9,474 "," 1,256 "," 4,071 "," 5,182 "," 6,227 ", 589 , 257 ," 13,697 "," 7,126 ", -   ," 8,778 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN, East Cheshire NHS Trust ," 1,373 "," 2,553 ", 671 , 411 , 320 , 545 ," 1,674 ", 146 ," 2,389 "," 2,364 "," 6,451 ", 602 ," 2,366 "," 1,824 "," 2,533 ", 468 , 78 ," 4,449 "," 3,056 ", -   ," 2,591 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV, East Kent Hospitals University NHS Foundation Trust ," 3,006 "," 15,365 "," 2,420 "," 2,193 "," 1,282 "," 3,652 "," 10,679 "," 1,223 "," 12,371 "," 10,368 "," 21,228 "," 4,116 "," 18,966 "," 12,141 "," 10,120 "," 1,309 ", * ," 23,031 "," 11,515 ", * ," 11,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR, East Lancashire Hospitals NHS Trust ," 4,083 "," 7,225 "," 2,470 "," 1,729 ", 899 ," 2,207 "," 4,076 ", 831 ," 8,621 "," 10,445 "," 17,705 "," 2,604 "," 9,775 "," 7,780 "," 10,509 "," 2,295 ", 605 ," 16,904 "," 9,164 ", -   ," 9,318 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWK, East London NHS Foundation Trust , -   , -   , -   , -   ," 3,542 ", 57 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 40 , -   , -   , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXC, East Sussex Healthcare NHS Trust ," 2,106 "," 16,395 "," 2,151 "," 1,693 ", 602 ," 2,011 "," 4,804 ", 564 ," 7,932 "," 5,836 "," 13,086 "," 2,034 "," 8,260 "," 5,445 "," 4,713 "," 1,688 ", 322 ," 11,063 "," 7,604 ", -   ," 4,138 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HP32, Eastern Surgery Ltd , -   , -   , -   , -   , -   , -   ," 1,228 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP23, Eccleshill NHS Treatment Centre , 72 , 198 , 20 , * , -   , 114 , * , * , 162 , -   ," 1,236 ", 366 , 428 , 347 , -   , -   , 6 , 323 , * , -   , 204 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED01, Edics , -   , 7 , -   , -   , -   , * , 226 , 192 , 176 , 98 , 50 , 617 , 176 , 28 , -   , -   , * , 28 , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC02, Emersons Green NHS Treatment Centre , 34 , 125 , 61 , * , * , 245 ," 1,322 ", 656 , 279 , 771 ," 2,684 ", 82 ," 1,639 ", 399 , -   , -   , 9 , 700 , 110 , -   , 209 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPH2, Emersons Green NHS Treatment Centre , * , 11 , 9 , -   , * , 53 , 400 , 163 , 62 , 203 , 606 , 11 , 384 , 107 , -   , -   , * , 149 , 20 , -   , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVR-X, Epsom and St Helier University Hospitals NHS Trust ," 1,830 "," 3,860 "," 1,444 "," 1,296 ", 533 ," 1,165 "," 4,593 ", 514 ," 3,932 "," 5,106 "," 11,871 "," 1,143 "," 10,718 "," 8,747 "," 7,939 "," 1,904 ", 519 ," 10,965 "," 6,278 ", -   ," 8,149 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC05, Euxton Hall Hospital , 21 , 97 , 30 , * , * , 105 , -   , 16 , 382 , 85 ," 1,063 ", 162 ," 1,563 ", 564 , -   , -   , * , 318 , 25 , -   , 163 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVG01, Fairfield Hospital , 22 , 135 , 24 , * , -   , 120 , 465 , 19 , 323 , 100 , 541 , 180 ," 1,108 ", 371 , -   , -   , * , 213 , 20 , -   , 152 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC06, Fitzwilliam Hospital , 62 , 74 , 12 , * , * , 74 , 414 , 21 , 131 , 145 , 953 , 35 ," 3,183 ", 306 , -   , -   , 7 , 157 , 57 , -   , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDJ01, Forum House , * , * , -   , 6 , * , 7 , * , * , 27 , 29 , 7 , 13 , 19 , 32 , -   , -   , -   , 116 , 104 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDU, Frimley Park Hospital NHS Foundation Trust ," 1,858 "," 5,891 "," 1,091 ", 994 , 499 ," 1,566 "," 4,295 ", 436 ," 7,436 "," 4,934 "," 11,403 "," 2,723 "," 11,927 "," 7,020 "," 6,925 "," 1,254 ", 385 ," 10,682 "," 6,264 ", -   ," 7,009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ106, Fryatt Hospital , 9 , 31 , * , 11 , 7 , 11 , -   , -   , 25 , 26 , 10 , 30 , 23 , 20 , -   , -   , * , 27 , 64 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC07, Fulwood Hall Hospital , 17 , 97 , 11 , -   , * , 142 ," 1,135 ", 19 , 420 , 96 , 807 , 90 ," 2,032 ", 610 , * , -   , 10 , 157 , 41 , -   , 87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7-X, Gateshead Health NHS Foundation Trust ," 1,825 "," 9,062 "," 1,243 ", 998 , 572 , 831 , 47 , 96 ," 3,238 "," 3,809 "," 8,201 "," 1,135 "," 5,434 "," 4,023 "," 2,495 ", 766 , 61 ," 7,774 "," 4,057 ", -   ," 4,303 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT, George Eliot Hospital NHS Trust , 793 ," 2,634 ", 348 , 412 , 385 , 643 , 952 , 29 ," 2,282 "," 1,943 "," 5,496 ", 782 ," 3,293 "," 3,732 "," 3,120 ", 396 , 73 ," 4,447 "," 2,724 ", -   ," 3,183 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR515, Glenbourne , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 577 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC09, Gloucester Health Access Centre , -   , -   , -   , -   , -   , -   , -   , 8 , -   , 9 , -   , -   , -   , 6 , -   , -   , -   , * , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPH9, Gloucester Health Access Centre , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1J, Gloucestershire Care Services NHS Trust , 82 , 440 , 109 , 79 , 48 , 81 , * , 8 , 438 , 560 , 190 , 223 , 374 , 561 ," 1,230 ", -   , * , 702 , 854 , -   , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE, Gloucestershire Hospitals NHS Foundation Trust ," 2,986 "," 30,401 "," 1,736 "," 1,469 ", 569 ," 3,302 "," 6,065 ", 910 ," 7,743 "," 8,167 "," 17,924 "," 2,054 "," 9,648 "," 7,425 "," 11,895 "," 1,659 ", 413 ," 14,791 "," 9,550 ", -   ," 10,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP4, Great Ormond Street Hospital for Children NHS Foundation Trust , 205 ," 6,556 "," 1,046 "," 2,446 ", 87 ," 2,722 ", 414 , 530 ," 1,065 "," 1,459 "," 3,008 ", 516 ," 4,188 "," 4,209 ", -   , 286 ," 9,841 ", 844 , 619 , -   , 106 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP15, Great Western Hospital , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , 8 , * , 26 , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN3, Great Western Hospitals NHS Foundation Trust ," 1,877 "," 9,696 "," 1,209 "," 1,310 ", 416 ," 1,697 "," 1,768 ", 455 ," 5,068 "," 5,122 "," 9,690 "," 1,311 "," 5,927 "," 4,597 "," 10,866 "," 1,922 ", 251 ," 10,008 "," 6,300 ", -   ," 13,365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV, Greater Manchester West Mental Health NHS Foundation Trust , * , -   , -   , * ," 3,037 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 64 , -   , -   , 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ1-X, Guy's and St Thomas' NHS Foundation Trust ," 2,057 "," 9,136 "," 2,974 "," 1,849 "," 1,628 "," 5,751 "," 4,131 ", 831 ," 9,058 "," 7,255 "," 21,964 "," 2,419 "," 10,901 "," 10,099 "," 10,528 ", 752 ," 3,259 "," 11,066 "," 9,346 ", -   ," 13,249 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQA34, Halstead Clinic , 6 , 9 , * , 12 , 8 , 14 , * , * , 36 , 27 , 11 , 32 , 37 , 40 , -   , -   , -   , 172 , 24 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5-X, Hampshire Hospitals NHS Foundation Trust ," 2,630 "," 7,417 "," 1,291 "," 1,747 ", 416 ," 1,727 "," 4,030 ", 497 ," 5,894 "," 5,799 "," 14,454 "," 1,935 "," 9,017 "," 8,068 "," 7,803 "," 2,320 ", 385 ," 10,107 "," 6,482 ", -   ," 8,368 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCD, Harrogate and District NHS Foundation Trust ," 1,104 "," 8,127 ", 817 , 828 , 248 , 930 ," 1,873 ", 240 ," 2,943 "," 2,486 "," 7,079 ", 663 ," 3,947 "," 2,523 "," 2,740 ", 859 , 153 ," 4,584 "," 2,883 ", -   ," 2,609 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP04, Hathaway Medical Centre , -   , -   , -   , -   , -   , 59 , -   , -   , -   , -   , 90 , -   , -   , -   , -   , -   , * , -   , * , -   , 97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1-X, Heart Of England NHS Foundation Trust ," 4,659 "," 26,381 "," 4,304 "," 3,415 "," 1,301 "," 3,429 "," 10,118 ", 882 ," 12,308 "," 13,071 "," 18,703 "," 3,622 "," 11,919 "," 11,443 "," 30,817 "," 2,858 ", 402 ," 34,758 "," 11,340 ", -   ," 18,536 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7, Heatherwood and Wexham Park Hospitals NHS Foundation Trust ," 2,639 "," 4,728 ", 963 , 844 , 451 ," 1,072 ", 173 , 464 ," 4,177 "," 4,754 "," 11,277 "," 2,033 "," 5,642 "," 6,170 "," 6,985 "," 1,535 ", 371 ," 11,037 "," 7,065 ", -   ," 6,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY4, Hertfordshire Community NHS Trust , 9 , * , * , * , * , 18 , -   , -   , 110 , 40 , 13 , 10 , 20 , 38 , -   , -   , * ," 3,199 ", 128 , -   , 276 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR, Hertfordshire Partnership University NHS Foundation Trust , -   , * , -   , -   , 426 , 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 884 , -   , -   , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQQ-X, Hinchingbrooke Health Care NHS Trust , 786 ," 5,645 ", 806 , 604 , 129 , 467 ," 2,904 ", 376 ," 1,833 "," 2,188 "," 4,870 ", 934 ," 3,563 "," 2,315 "," 2,903 ", 390 , 63 ," 3,653 "," 2,293 ", -   ," 3,841 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
