 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXV Greater Manchester West Mental Health NHS Foundation Trust , -   , -   , -   , -   ," 1,858 ", -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 493 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TAE Manchester Mental Health and Social Care Trust , -   , -   , -   , * ," 1,160 ", 31 , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   , 10 , -   , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q38 South Central Strategic Health Authority ," 12,613 "," 84,669 "," 14,228 "," 12,224 "," 10,418 "," 20,998 "," 39,391 "," 6,077 "," 58,508 "," 50,322 "," 102,314 "," 18,674 "," 76,533 "," 59,242 "," 92,793 "," 12,442 "," 8,460 "," 106,150 "," 62,177 "," 73,718 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5CQ Milton Keynes PCT , * , 12 , -   , * , 355 , 38 , -   , -   , 20 , 25 , 9 , * , 40 , 8 , -   , -   , -   , 175 , 142 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5FE Portsmouth City Teaching PCT , * , 9 , * , * , 626 , 27 , -   , -   , 13 , 20 , * , * , 6 , 7 ," 1,090 ", -   , -   , 663 , 31 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5L1 Southampton City PCT , 6 , 16 , -   , 12 , 10 , 52 , * , -   , 254 , 65 , 210 , 20 , 47 , 31 , 360 , -   , * , 122 , 149 , 689 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QC Hampshire PCT , 68 ," 1,527 ", 415 , 92 , 86 , 337 , 911 , * , 966 , 716 ," 2,085 ", 576 , 640 , 785 , -   , -   , * ," 1,615 ", 512 , 433 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QD Buckinghamshire PCT , 6 , 391 , * , 21 , 9 , 78 , * , -   , 68 , 48 , 17 , 14 , 38 , 26 , -   , -   , -   , 219 , 109 , 832 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QE Oxfordshire PCT , * , 93 , * , 13 , 17 , 21 , -   , -   , 140 , 103 , 34 , 36 , 29 , 165 , -   , -   , -   , 271 , 181 , 683 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QF Berkshire West PCT , 12 , 461 , 42 , 23 , 17 , 95 , * , -   , 121 , 69 , 25 , 34 , 28 , 66 , -   , * , * , 127 , 80 , 472 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QG Berkshire East PCT , * , 8 , * , 20 , 20 , 14 , * , -   , 79 , 30 , 14 , 20 , 29 , 41 , -   , -   , -   , 86 , 140 , 116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QT Isle of Wight NHS PCT , 406 ," 2,401 ", 265 , 293 , 499 , 604 ," 1,322 ", 220 ," 1,886 "," 1,821 "," 5,289 ", 680 ," 2,235 "," 1,794 "," 1,661 ", * , * ," 3,513 "," 2,137 "," 1,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT214 Nuffield Health, Wessex Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT304 Spire Southampton Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 24 , -   , 91 , 16 , -   , -   , -   , 107 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT305 Spire Portsmouth Hospital , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 164 , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT343 Spire Thames Valley Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 15 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT344 Spire Dunedin Hospital , -   , -   , -   , -   , -   , 6 , -   , -   , -   , * , -   , -   , 63 , -   , -   , -   , -   , * , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT345 Spire Clare Park Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT433 BMI - Sarum Road Hospital , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 7 , -   , 14 , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT507 Southampton NHS Treatment Centre , -   , 120 , * , * , * , 43 , 155 , 28 , 68 , 108 , 997 , 93 , 241 , 220 , -   , -   , * , 841 , 19 , 284 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT603 St Mary's NHS Treatment Centre , * ," 1,188 ", * , * , -   , 397 , 733 , * , * , -   ," 1,870 ", 210 , 504 , -   , -   , -   , * , 27 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT706 Rivermead Leisure Centre , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT726 Bicester Community Hospital - Cherwell Vale , -   , -   , -   , -   , -   , -   , 38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTH01 Dunedin Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC02 The Berkshire Independent Hospital , -   , -   , -   , -   , -   , 13 , -   , -   , -   , -   , 206 , * , 324 , 8 , * , -   , -   , 89 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC25 Horton NHS Treatment Centre , -   , * , -   , * , -   , 218 , -   , -   , * , * , * , 9 ," 2,624 ", -   , -   , -   , -   , 52 , 65 , 87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC31 Blakelands NHS Treatment Centre , * , 89 , -   , -   , -   , 119 , 338 , * , 42 , -   , 740 , 52 , 730 , 17 , -   , -   , * , 405 , -   , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBF-X Nuffield Orthopaedic Centre NHS Trust , 20 , 338 , 37 , 15 , 6 , 862 , * , -   , 51 , * , * , 191 ," 6,976 ", * , -   , -   , 84 , 38 , 783 , 200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RD7 Heatherwood and Wexham Park Hospitals NHS Foundation Trust , 877 ," 5,453 "," 1,164 "," 1,005 ", 250 ," 1,443 ", 126 , 533 ," 5,759 "," 4,414 "," 10,694 "," 1,965 "," 6,042 "," 6,471 "," 8,706 "," 1,007 ", 465 ," 7,681 "," 5,864 "," 6,981 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RD8 Milton Keynes Hospital NHS Foundation Trust , 854 ," 4,127 ", 876 , 617 , 296 , 874 ," 1,455 ", 448 ," 2,969 "," 3,707 "," 6,440 ", 924 ," 4,313 "," 3,426 "," 8,216 ", 480 , 177 ," 9,214 "," 3,768 "," 5,457 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RHM Southampton University Hospitals NHS Trust ," 3,042 "," 15,539 "," 2,963 "," 1,838 ", 893 ," 3,343 "," 4,976 ", 805 ," 9,353 "," 9,181 "," 9,595 "," 2,076 "," 7,831 "," 7,654 "," 9,873 "," 1,102 "," 2,495 "," 13,487 "," 9,264 "," 9,824 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RHU Portsmouth Hospitals NHS Trust ," 2,325 "," 9,820 "," 1,819 "," 1,707 ", 547 ," 2,724 "," 6,574 "," 1,322 "," 8,549 "," 8,784 "," 15,897 "," 2,729 "," 15,289 "," 9,585 "," 9,188 "," 1,559 ", 776 ," 16,243 "," 10,465 "," 9,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RHW Royal Berkshire NHS Foundation Trust ," 1,164 "," 7,009 "," 1,504 "," 1,176 ", 243 ," 1,416 "," 8,098 ", 704 ," 5,425 "," 5,061 "," 9,114 "," 1,345 "," 8,608 "," 6,976 "," 13,434 "," 1,408 ", 360 ," 14,000 "," 4,809 "," 4,978 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RHX Oxfordshire Learning Disability NHS Trust , -   , -   , -   , -   , 14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RN1-X Winchester and Eastleigh Healthcare NHS Trust , 535 ," 3,143 ", 732 , 521 , 137 , 910 ," 1,729 ", 255 ," 2,385 "," 2,279 "," 6,107 ", 861 ," 3,669 "," 3,510 "," 6,217 "," 1,225 ", 156 ," 4,551 "," 2,652 "," 3,754 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RN5T1 North Hampshire Hospitals NHS Trust Treatment Centre , 15 ," 1,115 ", 194 , 21 , * , 201 , 22 , 213 , 408 , 389 ," 3,259 ", 302 ," 1,286 "," 1,592 ", * , -   , 32 ," 1,157 ", 62 , 872 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RN5-X Basingstoke and North Hampshire NHS Foundation Trust , 684 ," 2,382 ", 191 , 731 , 517 , 633 ," 2,505 ", 102 ," 2,582 "," 2,391 "," 2,272 "," 1,081 "," 3,889 "," 1,773 "," 3,713 ", 722 , 245 ," 4,919 "," 3,250 "," 2,630 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNU Oxfordshire and Buckinghamshire Mental Health NHS Foundation Trust , -   , -   , -   , -   ," 1,358 ", 33 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 412 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTH Oxford Radcliffe Hospitals NHS Trust ," 1,494 "," 18,251 "," 2,925 "," 2,935 ", 505 ," 4,876 "," 5,174 ", 918 ," 11,738 "," 7,225 "," 17,580 "," 3,441 "," 3,771 "," 9,593 "," 18,492 "," 2,823 "," 3,053 "," 16,217 "," 11,928 "," 13,539 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW1 Hampshire Partnership NHS Foundation Trust , * , * , -   , * ," 2,624 ", 233 , -   , -   , -   , * , * , -   , * , * , * , -   , * , 944 , 9 , 318 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWX Berkshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,225 ", * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXQ Buckinghamshire Hospitals NHS Trust ," 1,084 "," 11,173 "," 1,080 "," 1,176 ", 155 ," 1,376 "," 5,131 ", 503 ," 5,627 "," 3,877 "," 9,819 "," 2,005 "," 6,990 "," 5,475 "," 11,838 "," 1,688 ", 508 ," 8,943 "," 5,748 "," 9,991 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q37 South East Coast Strategic Health Authority ," 11,726 "," 95,625 "," 14,163 "," 11,063 "," 12,362 "," 19,776 "," 42,359 "," 6,278 "," 66,590 "," 57,581 "," 114,929 "," 19,708 "," 83,568 "," 70,955 "," 79,644 "," 17,095 "," 5,913 "," 126,446 "," 77,066 "," 74,022 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5L3 Medway PCT , * , 301 , -   , -   , -   , 21 , -   , -   , 10 , 11 , * , -   , -   , * , -   , -   , * , 462 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P5 Surrey PCT , 17 , 171 , 13 , 7 , 8 , 64 , * , * , 91 , 60 , 210 , 37 , 104 , 81 , -   , -   , 16 , 414 , 268 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P6 West Sussex PCT , 41 , 594 , 297 , 50 , 46 , 110 , * , * , 309 , 175 , 78 , 141 , 780 , 96 , -   , 27 , 9 ," 2,011 ", 71 ," 1,293 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P7 East Sussex Downs and Weald PCT , 12 , 96 , 26 , 17 , 13 , 48 , * , * , 173 , 114 , 62 , 55 , 135 , 123 , -   , -   , -   , 75 , 317 , 124 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
