"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNL, North Cumbria University Hospitals NHS Trust ," 2,310 "," 9,697 "," 1,069 ", 744 , 558 ," 1,439 "," 3,868 ", 543 ," 6,485 "," 4,915 "," 12,122 "," 1,366 "," 5,297 "," 13,416 "," 5,290 ", 791 , 247 ," 6,699 "," 4,567 "," 5,042 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT210," Nuffield Health, The Grosvenor Hospital, Chester ", -   , * , -   , -   , -   , * , -   , -   , -   , -   , -   , * , 584 , -   , -   , -   , -   , -   , 13 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC12, Oaklands Hospital , * , 28 , * , * , -   , 159 , -   , * , * , 72 , 402 , 51 ," 2,036 ", 211 , -   , -   , 6 , 28 , 53 , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW6, Pennine Acute Hospitals NHS Trust ," 8,226 "," 16,508 "," 4,142 "," 4,080 "," 1,296 "," 2,913 "," 4,734 "," 1,149 "," 12,503 "," 15,916 "," 27,715 "," 3,945 "," 17,113 "," 13,024 "," 20,206 "," 3,502 ", 582 ," 21,732 "," 13,298 "," 15,115 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT2, Pennine Care NHS Foundation Trust , * , -   , -   , -   ," 2,538 ", 95 , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 30 , 12 , 313 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC16, Renacres Hospital , * , 60 , 8 , -   , * , 65 , 253 , 18 , 193 , 87 , 613 , 79 , 788 , 376 , -   , -   , * , 200 , 12 , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ6, Royal Liverpool and Broadgreen University Hospitals NHS Trust ," 1,482 "," 8,119 "," 2,100 "," 1,435 ", 713 ," 1,128 "," 6,973 ", 320 ," 4,933 "," 4,451 "," 15,210 "," 2,011 "," 8,565 "," 4,330 ", 30 , -   , 284 ," 13,751 "," 8,073 "," 4,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM3, Salford Royal NHS Foundation Trust ," 1,798 "," 5,843 "," 1,896 "," 2,499 ", 721 ," 6,238 ", 101 , 371 ," 4,610 "," 3,979 "," 9,663 "," 1,554 "," 9,498 "," 4,749 "," 3,058 ", 119 , 219 ," 9,958 "," 5,783 "," 2,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVY, Southport and Ormskirk Hospital NHS Trust ," 1,762 "," 5,248 "," 1,914 "," 1,086 ", 502 , 808 ," 3,024 ", 233 ," 3,320 "," 4,128 "," 8,266 "," 1,092 "," 5,750 "," 3,253 "," 4,298 "," 1,258 ", 78 ," 6,844 "," 3,520 "," 4,254 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPG01, Spamedica (Citygate) , -   , -   , -   , -   , -   , -   , 647 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT324, Spire Cheshire Hospital , 13 , 73 , * , -   , * , 73 , 32 , 108 , 135 , 316 , 465 , 30 , 714 , 319 , -   , -   , * , 103 , 23 , 69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT347, Spire Fylde Coast Hospital , * , 36 , * , 98 , -   , 43 , 892 , * , 71 , 89 , 184 , 45 , 723 , 159 , -   , -   , * , 65 , 14 , 49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT337, Spire Liverpool Hospital , 55 , 51 , 29 , * , -   , 185 , 451 , 46 , 157 , 185 ," 1,077 ", 25 ," 2,210 ", 433 , * , -   , 7 , 374 , 41 , 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT327, Spire Manchester Hospital , * , 21 , * , 73 , -   , 49 , -   , 13 , 93 , 68 , 187 , 12 , 419 , 117 , -   , -   , * , 14 , 8 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT325, Spire Murrayfield Hospital , 9 , 85 , * , 121 , -   , 125 , 143 , 9 , 90 , 52 , 346 , 21 ," 1,084 ", 122 , * , -   , * , 32 , 24 , 101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT339, Spire Regency Hospital , 11 , 56 , * , 77 , -   , 12 , 320 , * , 100 , 46 , 510 , 13 , 331 , 191 , -   , -   , * , 44 , 8 , 77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBN, St Helens and Knowsley Hospitals NHS Trust ," 2,768 "," 7,653 ", 769 , 777 , 831 ," 1,072 "," 3,974 ", 476 ," 5,037 "," 6,212 "," 11,897 "," 3,139 "," 4,893 "," 6,704 "," 7,827 "," 1,337 ", 254 ," 15,614 "," 9,776 "," 7,429 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWJ, Stockport NHS Foundation Trust ," 2,605 "," 4,812 "," 1,161 ", 949 , 449 ," 1,413 "," 3,555 ", 453 ," 5,288 "," 5,444 "," 11,660 "," 1,542 "," 7,317 "," 5,928 "," 8,904 "," 1,519 ", 439 ," 10,518 "," 5,535 "," 6,646 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMP, Tameside Hospital NHS Foundation Trust ," 1,803 "," 3,101 "," 1,081 "," 1,096 ", 596 ," 1,035 ", 36 , 312 ," 4,091 "," 5,006 "," 7,192 "," 1,090 "," 3,781 "," 3,070 "," 4,902 ", 849 , 144 ," 6,447 "," 3,476 "," 3,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV, The Christie NHS Foundation Trust , 555 ," 10,108 "," 1,136 ", 617 , 6 , 114 , 98 , 6 , 175 , 386 , 596 , 264 , 207 , 313 , -   , -   , 27 ," 1,042 ", 221 ," 1,275 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN, The Clatterbridge Cancer Centre NHS Foundation Trust , 134 ," 3,499 ", 428 , 71 , * , 170 , * , -   , 26 , 24 , 16 , 10 , 10 , 13 , -   , -   , -   , 129 , 6 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPAE, The Croft Shifa Health Centre , -   , 11 , -   , -   , -   , -   , 316 , -   , -   , -   , -   , 7 , -   , -   , -   , -   , * , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP35, The Phoenix Centre , -   , -   , -   , -   , -   , -   , 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET, The Walton Centre NHS Foundation Trust , 26 , 765 , 18 , 13 , 17 ," 3,061 ", 64 , 7 , 640 , * , 8 , 8 ," 2,694 ", 11 , * , -   , 187 , 762 , 657 , 407 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM2, University Hospital Of South Manchester NHS Foundation Trust ," 2,213 "," 9,626 ", 759 ," 1,326 ", 416 ," 1,407 ", 89 , 420 ," 9,134 "," 6,584 "," 8,395 "," 1,888 "," 7,389 "," 6,086 "," 6,185 "," 1,714 ", 935 ," 11,358 "," 7,208 "," 7,148 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX, University Hospitals Of Morecambe Bay NHS Foundation Trust ," 2,394 "," 10,756 "," 1,035 ", 811 , 619 ," 1,716 "," 4,103 ", 702 ," 6,506 "," 6,245 "," 11,498 "," 3,211 "," 7,704 "," 5,795 "," 5,424 "," 1,100 ", 453 ," 11,062 "," 6,355 "," 6,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWW, Warrington and Halton Hospitals NHS Foundation Trust ," 2,153 "," 4,596 "," 1,410 "," 1,669 ", 728 ," 1,191 "," 4,009 ", 415 ," 4,812 "," 4,841 "," 10,155 "," 1,328 "," 6,808 "," 5,997 "," 6,067 "," 1,646 ", 225 ," 11,745 "," 6,401 "," 5,362 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBL, Wirral University Teaching Hospital NHS Foundation Trust ," 2,697 "," 8,237 "," 1,591 "," 2,426 "," 1,012 "," 1,786 "," 3,093 ", 612 ," 6,250 "," 6,806 "," 14,019 "," 2,237 "," 6,802 "," 7,621 "," 8,156 "," 1,848 ", 342 ," 12,916 "," 7,446 "," 6,249 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8E339, Woodlands Day Hospice , -   , 260 , 21 , 7 , * , 7 , -   , -   , * , 9 , * , -   , 8 , * , -   , -   , -   , 18 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRF," Wrightington, Wigan and Leigh NHS Foundation Trust "," 1,776 "," 7,731 "," 1,780 "," 1,980 ", 604 ," 1,545 "," 5,383 ", 323 ," 5,117 "," 4,018 "," 11,002 "," 1,292 "," 11,569 "," 3,730 "," 6,047 ", 989 , 336 ," 9,576 "," 6,344 "," 5,854 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38, SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY ," 24,049 "," 104,514 "," 14,995 "," 12,776 "," 9,547 "," 20,921 "," 37,348 "," 5,545 "," 58,262 "," 54,084 "," 114,551 "," 17,207 "," 73,303 "," 58,717 "," 76,319 "," 16,262 "," 7,436 "," 103,435 "," 67,061 "," 77,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QG, Berkshire East PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWX, Berkshire Healthcare NHS Foundation Trust , * , 22 , -   , * ," 1,193 ", * , -   , * , 8 , 11 , * , * , * , 11 , -   , -   , -   , 20 , 12 ," 1,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QF, Berkshire West PCT , -   , * , -   , -   , -   , * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC31, Blakelands NHS Treatment Centre , 42 , 33 , 24 , -   , -   , 68 , 572 , -   , 42 , * , 559 , 19 , 340 , -   , -   , -   , * , 234 , * , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT433, BMI - Sarum Road Hospital , -   , 12 , -   , -   , -   , 66 , -   , * , -   , 31 , 40 , 12 , 346 , 41 , -   , -   , * , 12 , 9 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT410, BMI - The Chiltern Hospital , 17 , 17 , * , * , -   , 15 , -   , * , 44 , 37 , 302 , 8 , 600 , 166 , -   , -   , * , 64 , 15 , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT415, BMI - The Foscote Hospital , * , 13 , * , * , -   , 18 , * , -   , 73 , -   , 188 , 18 , 114 , 54 , -   , -   , -   , 25 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT418, BMI - The Hampshire Clinic , -   , 18 , -   , * , -   , 28 , 71 , * , 18 , 87 , 601 , 18 , 739 , 33 , -   , -   , * , 48 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT428, BMI - The Princess Margaret Hospital , -   , * , -   , -   , -   , 11 , -   , -   , 18 , -   , 96 , * , 320 , 29 , -   , -   , -   , 26 , 10 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT434, BMI - The Saxon Clinic , * , 36 , * , 14 , * , 65 , -   , -   , * , * , 159 , 23 , 430 , 184 , -   , -   , * , 30 , * , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
