"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 2,415 "," 35,803 "," 3,500 "," 3,562 ", 662 ," 6,826 "," 11,408 "," 1,939 "," 15,175 "," 9,379 "," 21,845 "," 6,318 "," 15,290 "," 10,906 "," 10,018 "," 1,985 "," 3,910 "," 22,229 "," 13,212 "," 17,799 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN401, Tyneside Surgical Services At The North East NHS Surgery Centre , -   , * , -   , -   , * , 23 , -   , -   , -   , * , * , 8 , 600 , -   , -   , -   , * , * , 19 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31, NORTH WEST STRATEGIC HEALTH AUTHORITY ," 33,426 "," 194,975 "," 39,472 "," 40,112 "," 32,085 "," 44,037 "," 86,661 "," 12,582 "," 150,105 "," 125,872 "," 294,616 "," 45,700 "," 184,909 "," 139,178 "," 191,823 "," 34,131 "," 16,967 "," 271,608 "," 156,102 "," 170,364 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV, 5 Boroughs Partnership NHS Foundation Trust , * , -   , -   , * ," 2,150 ", 199 , * , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 18 , -   , 356 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTF01, Abbey Gisburne Park Hospital , -   , -   , -   , 15 , * , * , -   , -   , 18 , * , * , -   , -   , -   , -   , -   , -   , 112 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM, Aintree University Hospital NHS Foundation Trust , 393 ," 7,897 "," 1,519 "," 1,374 ", 486 ," 1,181 "," 3,120 ", 257 ," 4,833 "," 4,434 "," 14,261 "," 2,179 "," 5,569 "," 3,534 ", 14 , -   , 149 ," 13,874 "," 5,744 "," 3,602 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS, Alder Hey Children's NHS Foundation Trust , 958 ," 3,386 ", 861 ," 1,161 ", 149 ," 1,019 ", 710 , 484 , 386 ," 2,719 "," 4,136 ", 897 ," 2,394 "," 2,154 ", -   , 556 ," 4,541 "," 2,535 "," 3,070 "," 1,724 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL, Blackpool Teaching Hospitals NHS Foundation Trust , 816 ," 16,225 "," 1,341 "," 1,648 ", 651 ," 1,152 "," 8,649 ", 468 ," 8,760 "," 4,086 "," 10,642 "," 3,108 "," 5,187 "," 5,144 "," 5,263 "," 1,017 ", 395 ," 15,496 "," 6,225 "," 7,465 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT497, BMI Gisburne Park Hospital , -   , 7 , -   , -   , -   , -   , 129 , -   , -   , -   , -   , -   , 326 , 106 , -   , * , -   , 60 , * , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT340, BMI South Cheshire Private Hospital (Spire) , -   , * , -   , -   , -   , -   , -   , -   , * , * , 12 , -   , 17 , 10 , -   , -   , -   , * , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT401, BMI - The Alexandra Hospital , -   , 35 , * , * , -   , 77 , * , * , 28 , * , 327 , 45 ," 1,089 ", 116 , -   , -   , * , 83 , 10 , 46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT403, BMI - The Beardwood Hospital , * , 48 , * , -   , * , 69 , 146 , 31 , 179 , 182 , 355 , 51 ," 1,583 ", 256 , -   , -   , 7 , 125 , 6 , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT404, BMI - The Beaumont Hospital , * , 43 , -   , * , 8 , 181 , 49 , 76 , 105 , 222 , 391 , 34 ," 1,675 ", 205 , * , -   , * , 113 , 15 , 178 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT420, BMI - The Highfield Hospital , * , 49 , * , * , -   , 173 , 341 , 19 , 51 , 116 , 276 , 22 ," 1,090 ", 525 , -   , -   , 10 , 138 , 13 , 236 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT449, BMI The Lancaster Hospital , -   , 14 , -   , * , -   , 29 , 30 , 11 , 10 , 84 , 41 , * , 579 , 49 , -   , -   , * , 15 , * , 34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT439, BMI - The South Cheshire Private Hospital , * , 33 , -   , -   , -   , 21 , -   , * , 77 , 16 , 193 , 17 , 312 , 94 , -   , -   , * , 39 , * , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC, Bolton NHS Foundation Trust ," 2,129 "," 4,161 ", 966 , 647 , 399 ," 1,076 "," 5,351 ", 640 ," 4,272 "," 5,514 "," 10,946 "," 1,463 "," 3,523 "," 3,976 "," 10,910 "," 1,512 ", 253 ," 10,651 "," 4,680 "," 9,192 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJX, Calderstones Partnership NHS Foundation Trust , -   , -   , -   , -   , 204 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NG, Central Lancashire PCT , -   , -   , -   , -   , * , * , -   , -   , -   , * , -   , -   , 25 , * , -   , -   , -   , 7 , * , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3-X, Central Manchester University Hospitals NHS Foundation Trust ," 1,530 "," 10,434 "," 3,599 "," 4,427 ", 541 ," 2,002 "," 10,754 "," 1,189 "," 7,596 "," 6,504 "," 18,256 "," 1,816 "," 6,003 "," 8,586 "," 13,109 "," 2,598 "," 3,710 "," 15,784 "," 8,987 "," 15,878 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA, Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , -   ," 2,699 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN, Clatterbridge Centre For Oncology NHS Foundation Trust , 131 ," 3,694 ", 378 , 37 , * , * , -   , -   , 24 , 24 , 47 , 14 , 19 , 15 , -   , -   , -   , 136 , 15 , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR, Countess of Chester Hospital NHS Foundation Trust , 954 ," 6,383 "," 1,460 "," 1,134 ", 332 ," 1,049 "," 2,838 ", 562 ," 4,183 "," 3,765 "," 9,924 "," 1,516 "," 4,292 "," 5,114 "," 10,775 "," 1,268 ", 272 ," 10,870 "," 5,705 "," 7,196 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN, Cumbria Partnership NHS Foundation Trust , 49 , 510 , 182 , 124 , 683 , 164 , * , * , 483 , 490 , 284 , 174 , 302 , 398 , -   , -   , * , 470 , 648 , 247 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN, East Cheshire NHS Trust , 795 ," 2,478 ", 533 , 366 , 277 , 616 ," 1,273 ", 185 ," 2,402 "," 2,495 "," 6,917 ", 581 ," 2,608 "," 2,207 "," 2,808 ", 741 , 111 ," 4,407 "," 3,053 "," 2,868 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR, East Lancashire Hospitals NHS Trust ," 2,555 "," 7,000 "," 2,044 "," 1,868 ", 850 ," 2,163 "," 4,238 ", 807 ," 8,557 "," 9,688 "," 18,841 "," 2,345 "," 9,755 "," 7,161 "," 10,722 "," 3,055 ", 760 ," 16,715 "," 9,300 "," 8,346 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC05, Euxton Hall Hospital , 9 , 67 , 6 , * , * , 93 , -   , 19 , 314 , 110 , 907 , 126 ," 1,355 ", 521 , -   , -   , 9 , 357 , 13 , 128 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVG01, Fairfield Hospital , 6 , 154 , 34 , * , -   , 73 , 241 , 9 , 244 , 83 , 506 , 123 , 683 , 398 , -   , * , 7 , 179 , 12 , 94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC07, Fulwood Hall Hospital , * , 66 , * , -   , 6 , 119 ," 1,018 ", 21 , 297 , 108 , 538 , 74 ," 1,689 ", 474 , -   , -   , 8 , 163 , 33 , 77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC34, Fylde Coast NHS Treatment Centre , * , 47 , 9 , * , -   , 79 , -   , 9 , 66 , 175 , 300 , 78 ," 1,134 ", -   , -   , -   , * , 124 , 24 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC33, Gisburne Park NHS Treatment Centre , -   , 70 , -   , * , -   , -   , * , 72 , 263 , 637 , 223 , 7 ," 1,876 ", -   , -   , -   , -   , 218 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV, Greater Manchester West Mental Health NHS Foundation Trust , * , -   , -   , * ," 2,498 ", -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , 158 , -   , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC39, Kendal NHS Treatment Centre , -   , 19 , * , -   , -   , 27 , -   , -   , 162 , -   , 360 , 42 , 542 , 34 , -   , -   , * , 138 , * , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW5, Lancashire Care NHS Foundation Trust , * , * , -   , * ," 3,102 ", 216 , -   , -   , * , 9 , -   , * , 140 , 6 , -   , -   , * , 169 , * , 266 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN, Lancashire Teaching Hospitals NHS Foundation Trust ," 1,984 "," 12,351 "," 3,086 "," 2,175 ", 611 ," 4,159 "," 3,164 ", 774 ," 8,684 "," 6,511 "," 13,972 "," 3,370 "," 10,424 "," 8,411 "," 13,818 ", 824 , 834 ," 12,616 "," 10,410 "," 11,362 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY1, Liverpool Community Health NHS Trust , 8 , 27 , 27 , 22 , 9 , 18 , -   , * , 82 , 117 , 57 , 51 , 127 , 95 , -   , * , -   , 239 , 270 , 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ, Liverpool Heart and Chest NHS Foundation Trust , 21 ," 1,250 ", 59 , 381 , * , 6 , * , * ," 8,785 ", 630 , 101 , 11 , 17 , * , -   , -   , 162 , 981 , 279 , 479 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NL, Liverpool PCT , * , * , * , * , * , * , -   , -   , 9 , 11 , * , 7 , 22 , * , -   , -   , -   , 78 , 13 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP, Liverpool Women's NHS Foundation Trust , 7 ," 1,360 ", 12 , 19 , -   , -   , 14 , -   , * , * , 39 , 38 , * ," 4,516 "," 22,191 "," 4,671 ", 382 , 988 , 102 ," 8,392 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAE, Manchester Mental Health and Social Care Trust , -   , -   , -   , -   ," 1,186 ", 42 , -   , -   , * , -   , -   , -   , -   , -   , 23 , -   , -   , 18 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4, Mersey Care NHS Trust , -   , -   , -   , * ," 2,832 ", 118 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 45 , -   , 403 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT, Mid Cheshire Hospitals NHS Foundation Trust , 863 ," 4,060 "," 1,271 "," 1,222 ", 323 , 801 ," 3,023 ", 313 ," 3,147 "," 3,333 "," 8,923 ", 979 ," 3,723 "," 3,856 "," 7,501 "," 1,277 ", 183 ," 9,685 "," 3,959 "," 4,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
